Provincias de destino;Procedencia de los viajeros;Meses;Total
Ávila;Residentes en España;Total;2,6
Ávila;Residentes en España;Enero;2,38
Ávila;Residentes en España;Febrero;2,24
Ávila;Residentes en España;Marzo;2,17
Ávila;Residentes en España;Abril;2,62
Ávila;Residentes en España;Mayo;2,03
Ávila;Residentes en España;Junio;2,1
Ávila;Residentes en España;Julio;2,8
Ávila;Residentes en España;Agosto;4,13
Ávila;Residentes en España;Septiembre;2,29
Ávila;Residentes en España;Octubre;2,48
Ávila;Residentes en España;Noviembre;2,21
Ávila;Residentes en España;Diciembre;2,61
Ávila;No Residentes en España;Total;3,81
Ávila;No Residentes en España;Enero;16,81
Ávila;No Residentes en España;Febrero;5,93
Ávila;No Residentes en España;Marzo;2,01
Ávila;No Residentes en España;Abril;1,57
Ávila;No Residentes en España;Mayo;1,44
Ávila;No Residentes en España;Junio;2,6
Ávila;No Residentes en España;Julio;5,73
Ávila;No Residentes en España;Agosto;5
Ávila;No Residentes en España;Septiembre;3,75
Ávila;No Residentes en España;Octubre;3,49
Ávila;No Residentes en España;Noviembre;6,4
Ávila;No Residentes en España;Diciembre;3,17
Badajoz;Total;Total;2,13
Badajoz;Total;Enero;2,21
Badajoz;Total;Febrero;1,99
Badajoz;Total;Marzo;1,89
Badajoz;Total;Abril;2,22
Badajoz;Total;Mayo;2,06
Badajoz;Total;Junio;2,13
Badajoz;Total;Julio;2,28
Badajoz;Total;Agosto;2,51
Badajoz;Total;Septiembre;1,96
Badajoz;Total;Octubre;1,89
Badajoz;Total;Noviembre;1,9
Badajoz;Total;Diciembre;2,21
Badajoz;Residentes en España;Total;2,06
Badajoz;Residentes en España;Enero;2,31
Badajoz;Residentes en España;Febrero;1,97
Badajoz;Residentes en España;Marzo;1,85
Badajoz;Residentes en España;Abril;2,22
Badajoz;Residentes en España;Mayo;1,91
Badajoz;Residentes en España;Junio;2,08
Badajoz;Residentes en España;Julio;2,15
Badajoz;Residentes en España;Agosto;2,39
Badajoz;Residentes en España;Septiembre;1,87
Badajoz;Residentes en España;Octubre;1,83
Badajoz;Residentes en España;Noviembre;1,81
Badajoz;Residentes en España;Diciembre;2,26
Badajoz;No Residentes en España;Total;2,6
Badajoz;No Residentes en España;Enero;1,51
Badajoz;No Residentes en España;Febrero;2,38
Badajoz;No Residentes en España;Marzo;2,25
Badajoz;No Residentes en España;Abril;2,21
Badajoz;No Residentes en España;Mayo;2,96
Badajoz;No Residentes en España;Junio;2,55
Badajoz;No Residentes en España;Julio;3,35
Badajoz;No Residentes en España;Agosto;3,3
Badajoz;No Residentes en España;Septiembre;2,46
Badajoz;No Residentes en España;Octubre;2,27
Badajoz;No Residentes en España;Noviembre;2,52
Badajoz;No Residentes en España;Diciembre;1,58
Balears, Illes;Total;Total;3,59
Balears, Illes;Total;Enero;2,74
Balears, Illes;Total;Febrero;2,45
Balears, Illes;Total;Marzo;2,88
Balears, Illes;Total;Abril;3,46
Balears, Illes;Total;Mayo;3,53
Balears, Illes;Total;Junio;3,7
Balears, Illes;Total;Julio;3,92
Balears, Illes;Total;Agosto;4,05
Balears, Illes;Total;Septiembre;3,69
Balears, Illes;Total;Octubre;3,41
Balears, Illes;Total;Noviembre;2,78
Balears, Illes;Total;Diciembre;2,59
Balears, Illes;Residentes en España;Total;2,69
Balears, Illes;Residentes en España;Enero;2,21
Balears, Illes;Residentes en España;Febrero;1,75
Balears, Illes;Residentes en España;Marzo;1,95
Balears, Illes;Residentes en España;Abril;2,45
Balears, Illes;Residentes en España;Mayo;2,4
Balears, Illes;Residentes en España;Junio;2,87
Balears, Illes;Residentes en España;Julio;3,2
Balears, Illes;Residentes en España;Agosto;3,67
Balears, Illes;Residentes en España;Septiembre;2,8
Balears, Illes;Residentes en España;Octubre;2,38
Balears, Illes;Residentes en España;Noviembre;2,06
Balears, Illes;Residentes en España;Diciembre;2,02
Balears, Illes;No Residentes en España;Total;3,81
Balears, Illes;No Residentes en España;Enero;3,33
Balears, Illes;No Residentes en España;Febrero;3,11
Balears, Illes;No Residentes en España;Marzo;3,14
Balears, Illes;No Residentes en España;Abril;3,63
Balears, Illes;No Residentes en España;Mayo;3,72
Balears, Illes;No Residentes en España;Junio;3,87
Balears, Illes;No Residentes en España;Julio;4,08
Balears, Illes;No Residentes en España;Agosto;4,14
Balears, Illes;No Residentes en España;Septiembre;3,85
Balears, Illes;No Residentes en España;Octubre;3,58
Balears, Illes;No Residentes en España;Noviembre;3,43
Balears, Illes;No Residentes en España;Diciembre;3,15
Barcelona;Total;Total;2,46
Barcelona;Total;Enero;2,21
Barcelona;Total;Febrero;1,87
Barcelona;Total;Marzo;1,98
Barcelona;Total;Abril;2,18
Barcelona;Total;Mayo;1,96
Barcelona;Total;Junio;2,3
Barcelona;Total;Julio;2,94
Barcelona;Total;Agosto;4,82
Barcelona;Total;Septiembre;2
Barcelona;Total;Octubre;2
Barcelona;Total;Noviembre;1,94
Barcelona;Total;Diciembre;2,24
Barcelona;Residentes en España;Total;2,32
Barcelona;Residentes en España;Enero;2,13
Barcelona;Residentes en España;Febrero;1,85
Barcelona;Residentes en España;Marzo;1,97
Barcelona;Residentes en España;Abril;2,18
Barcelona;Residentes en España;Mayo;1,92
Barcelona;Residentes en España;Junio;2,24
Barcelona;Residentes en España;Julio;2,58
Barcelona;Residentes en España;Agosto;4,56
Barcelona;Residentes en España;Septiembre;1,99
Barcelona;Residentes en España;Octubre;2,01
Barcelona;Residentes en España;Noviembre;1,96
Barcelona;Residentes en España;Diciembre;2,23
Barcelona;No Residentes en España;Total;3,39
Barcelona;No Residentes en España;Enero;3,89
Barcelona;No Residentes en España;Febrero;2,1
Barcelona;No Residentes en España;Marzo;2,1
Barcelona;No Residentes en España;Abril;2,25
Barcelona;No Residentes en España;Mayo;2,22
Barcelona;No Residentes en España;Junio;2,61
Barcelona;No Residentes en España;Julio;4,38
Barcelona;No Residentes en España;Agosto;5,36
Barcelona;No Residentes en España;Septiembre;2,14
Barcelona;No Residentes en España;Octubre;1,93
Barcelona;No Residentes en España;Noviembre;1,67
Barcelona;No Residentes en España;Diciembre;2,38
